qtype,question,answer
"symptoms","What are the symptoms of COVID-19?","Common symptoms include fever, cough, shortness of breath, and loss of taste or smell."
"diagnosis","How is diabetes diagnosed?","Diabetes is diagnosed using blood tests such as fasting glucose, HbA1c, and oral glucose tolerance test."
"treatment","What treatments are available for hypertension?","Treatments include lifestyle changes, medications like ACE inhibitors, and regular monitoring."
"prevention","How can I prevent heart disease?","Heart disease prevention includes a healthy diet, regular exercise, not smoking, and managing stress."
"risk factors","What are the risk factors for stroke?","Risk factors include high blood pressure, smoking, diabetes, obesity, and family history."
"symptoms","What are the signs of dehydration?","Signs include dry mouth, extreme thirst, less frequent urination, dark-colored urine, and fatigue."
"cause","What causes migraines?","Migraines are caused by a combination of genetic and environmental factors, often triggered by stress, food, or hormonal changes."
"treatment","How is asthma treated?","Asthma is treated with inhalers, medications, and avoiding triggers."
"diagnosis","How is anemia diagnosed?","Anemia is diagnosed using blood tests, primarily a complete blood count (CBC) to measure hemoglobin levels."
"symptoms","What are the symptoms of anemia?","Symptoms include fatigue, weakness, pale skin, and shortness of breath."
"risk factors","Who is at risk for osteoporosis?","Risk factors include aging, being female, family history, low calcium intake, and lack of physical activity."
"prevention","How can I prevent osteoporosis?","Prevention includes a diet rich in calcium and vitamin D, regular exercise, and avoiding smoking."
"treatment","What is the treatment for arthritis?","Treatment includes pain relievers, anti-inflammatory drugs, physical therapy, and sometimes surgery."
"cause","What causes high blood pressure?","Causes include genetics, poor diet, lack of exercise, stress, and excess alcohol consumption."
"symptoms","What are the early signs of Alzheimer's disease?","Early signs include memory loss, confusion with time or place, and difficulty completing familiar tasks."
"prevention","How can I reduce my risk of cancer?","Risk reduction includes avoiding tobacco, limiting alcohol, eating a healthy diet, and regular screening."
"treatment","What is chemotherapy?","Chemotherapy is a treatment that uses drugs to kill cancer cells."
"diagnosis","How is depression diagnosed?","Depression is diagnosed through a psychological evaluation and assessment of symptoms."
"symptoms","What are common symptoms of depression?","Symptoms include persistent sadness, loss of interest in activities, fatigue, and changes in appetite."
"risk factors","What increases the risk of diabetes?","Risk factors include obesity, sedentary lifestyle, family history, and high blood pressure."
"cause","What causes obesity?","Obesity is caused by an imbalance between calorie intake and expenditure, often influenced by genetics and lifestyle."
"treatment","How is obesity treated?","Treatment includes lifestyle changes, dietary modifications, exercise, and sometimes medications or surgery."
"prevention","How can I prevent obesity?","Prevention includes a balanced diet, regular exercise, and monitoring weight regularly."
"symptoms","What are the symptoms of appendicitis?","Symptoms include sharp abdominal pain, nausea, vomiting, and fever."
"diagnosis","How is appendicitis diagnosed?","Appendicitis is diagnosed through physical exams, imaging tests, and blood tests."
