qtype,question,answer
"symptoms","What are the symptoms of meningitis?","Symptoms include severe headache, fever, stiff neck, and sensitivity to light."
"diagnosis","How is liver disease diagnosed?","Liver disease is diagnosed through blood tests, imaging tests like ultrasound, and sometimes a liver biopsy."
"treatment","What are the treatment options for rheumatoid arthritis?","Treatments include anti-inflammatory drugs, DMARDs, biologics, and physical therapy."
"prevention","How can I prevent respiratory infections?","Prevention includes regular handwashing, avoiding close contact with sick people, and vaccination."
"risk factors","What are the risk factors for chronic kidney disease?","Risk factors include diabetes, high blood pressure, and a family history of kidney disease."
"symptoms","What are the signs of thyroid disease?","Signs include fatigue, weight changes, dry skin, and mood changes."
"cause","What causes gout?","Gout is caused by high levels of uric acid in the blood, which can crystallize and cause joint pain."
"treatment","How is eczema treated?","Eczema is treated with moisturizers, steroid creams, and avoiding triggers like irritants and allergens."
"diagnosis","How is chronic obstructive pulmonary disease (COPD) diagnosed?","COPD is diagnosed with lung function tests, imaging tests, and blood tests."
"symptoms","What are the early symptoms of multiple sclerosis?","Early symptoms include fatigue, numbness, muscle weakness, and vision problems."
"risk factors","Who is at higher risk for colorectal cancer?","Risk factors include age, family history, diet high in red or processed meat, and smoking."
"prevention","How can I reduce my risk of liver disease?","Risk reduction includes limiting alcohol, maintaining a healthy weight, and getting vaccinated for hepatitis."
"treatment","What treatments are available for psoriasis?","Treatments include topical treatments, light therapy, and systemic medications."
"cause","What causes sleep apnea?","Sleep apnea is caused by airway blockage or problems in the brain's control of breathing."
"symptoms","What are common symptoms of panic disorder?","Symptoms include sudden intense fear, palpitations, sweating, and shortness of breath."
"diagnosis","How is celiac disease diagnosed?","Celiac disease is diagnosed with blood tests and sometimes a biopsy of the small intestine."
"treatment","What is the treatment for celiac disease?","The primary treatment is a strict gluten-free diet."
"risk factors","What increases the risk of developing skin cancer?","Risk factors include excessive sun exposure, fair skin, family history, and tanning bed use."
"prevention","How can I protect my skin from sun damage?","Sun protection includes wearing sunscreen, protective clothing, and avoiding midday sun."
"symptoms","What are the symptoms of chronic fatigue syndrome?","Symptoms include extreme tiredness, joint pain, memory problems, and unrefreshing sleep."
"diagnosis","How is lupus diagnosed?","Lupus is diagnosed with blood tests, urine tests, and sometimes a biopsy of affected organs."
"cause","What causes acid reflux?","Acid reflux is caused by the stomach acid flowing back into the esophagus, often due to a weak lower esophageal sphincter."
"treatment","How is acid reflux treated?","Treatment includes lifestyle changes, antacids, and sometimes medications that reduce acid production."
"prevention","How can I prevent acid reflux?","Prevention includes avoiding large meals, not lying down after eating, and avoiding trigger foods."
"symptoms","What are the symptoms of gallstones?","Symptoms include abdominal pain, nausea, vomiting, and sometimes fever."
"diagnosis","How is breast cancer diagnosed?","Breast cancer is diagnosed with mammograms, ultrasounds, biopsies, and sometimes MRI."
"treatment","What are the treatment options for breast cancer?","Treatment options include surgery, radiation, chemotherapy, and hormone therapy."
"cause","What causes tuberculosis?","Tuberculosis is caused by the bacterium Mycobacterium tuberculosis, which spreads through the air."
"symptoms","What are the symptoms of tuberculosis?","Symptoms include persistent cough, chest pain, fever, and weight loss."
"diagnosis","How is tuberculosis diagnosed?","Tuberculosis is diagnosed with skin tests, blood tests, chest X-rays, and sputum tests."
"risk factors","Who is at risk for developing asthma?","Risk factors include family history, allergies, respiratory infections, and exposure to pollution."
